"No","Pemohon/ Penanggung Jawab Izin","Perusahaan/Instansi","Alamat","Sumber Air","long0","long1","long2","lat0","lat1","lat2","Desa","Kecamatan","Kab/Kota","Jenis Usaha","Debit Izin (liter/detik)","Tanggal Surat Keputusan","Nomor Surat Keputusan","Masa Berlaku Izin","Status","Perpanjangan","Keterangan"
"11","Muhammad Fathoni","PT Pertamina Patra Niaga","Gedung Wisma Tugu II Lantai 2, Jalan HR. Rasuna Said, Kav. C7-9, Kuningan, Jakarta","Sungai Ciwunung","7","24","59,04","108","44","18,19","","","","Konstruksi perlintasan pipa","","28-Feb-24","520/KPTS/M/2024 ","","","",""
"12","Muhammad Fathoni","PT Pertamina Patra Niaga","Gedung Wisma Tugu II Lantai 2, Jalan HR. Rasuna Said, Kav. C7-9, Kuningan, Jakarta","Sungai Ciroas","7","22","36,11","108","32","42,35","","","","Konstruksi perlintasan pipa","","28-Feb-24","525/KPTS/M/2024 ","Sepanjang umur layan konstruksi","Berlaku","",""
"13","Muhammad Fathoni","PT Pertamina Patra Niaga","Gedung Wisma Tugu II Lantai 2, Jalan HR. Rasuna Said, Kav. C7-9, Kuningan, Jakarta","Sungai Walagar","7","21","9,12","108","17","34,34","","","","Konstruksi perlintasan pipa","","28-Feb-24","519/KPTS/M/2024 ","Sepanjang umur layan konstruksi","Berlaku","",""
"14","Muhammad Fathoni","PT Pertamina Patra Niaga","Gedung Wisma Tugu II Lantai 2, Jalan HR. Rasuna Said, Kav. C7-9, Kuningan, Jakarta","Sungai Cikalang","7","20","21,72","108","14","47,37","","","","Konstruksi perlintasan pipa","","28-Feb-24","529/KPTS/M/2024 ","Sepanjang umur layan konstruksi","Berlaku","",""
"15","drg. Eka Lina Liandari, MMRS","Permen 03 BLUD RSU Kota Banjar","Jalan RSU Nomor 5, Kota Banjar","Sungai Citanduy","7","22","7,01","108","32","39,97","","","","Lahan parkir hotmix","","29-Jan-24","201/KPTS/M/2024 ","Sepanjang umur layan konstruksi","Berlaku","",""
"16","Julfi Hadi","PT Pertamina Geothermal Energy Tbk","Graha Pertamina, Tower Pertamax Lantai 7, Jalan Medan Merdeka Timur Nomor 11-13, Jakarta Pusat","Sungai Cipatuh","7","12","27,8","108","4","32,8","Sukakerta","Sukahening","Kab. Tasikmalaya","Operasional panas bumi","13,65","26-Sep-23","1288/KPTS/M/2023","26-Sep-28","Berlaku","",""
"17","Yuan Peter Paul","PT Pertamina Patra Niaga","Jalan Banjaran Nomor 1, Cilacap","Sungai Cimeneng","7","32","59,35","108","52","52,26","Rawajaya dan Bantarsari","Bantarsari","Kab. Cilacap","Pipa penyalur bahan bakar","","29-Sep-23","1329/KPTS/M/2023 ","Sepanjang umur layan konstruksi","Berlaku","",""
"18","Dadih Abdulhadi,SH.,M.Sc","PERUMDA Air Minum Tirta Sukapura","Jalan AH Nasution Kilometer 8, Cibanjaran, Tasikmalaya, Jawa Barat","Mata Air Cipondok","7","7","54,31","108","8","2,84","Mekarsari","Kadipaten","Kab. Tasikmalaya","Air Minum","24","08-Aug-23","911/KPTS/M/2023 ","08-Aug-28","Berlaku","",""
"19","Ir. H Tomy Subagja, MM","DINAS PU DAN TATA RUANG KOTA BANJAR","Jalan Purnomosidi Nomor 01, Doboku, Kota Banjar","Sungai Citanduy","7","22","5,79","108","32","31,78","Karangpanimbal dan Banjar","Purwaharja dan Banjar","Kota Banjar","Jembatan gantung pipa air bersih","","16-Feb-23","286.7/KPTS/M/2023 ","Sepanjang umur layan konstruksi","Berlaku","",""
"20","Drs. Cece Hidayat","Perumda Air Minum Tirta Galuh","Jalan Mister Iwa Kusuma Sumantri, Kelurahan Kertasari, Kecamatan Ciamis, Kabupaten Ciamis, Jawa Barat","Sungai Cileueur","7","18","20,7","108","19","6,7","Cisadap","Ciamis","Ciamis","Air Minum","20","07-Feb-23","221/KPTS/M/2023","","Berlaku","",""
